Country Name,Series Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
United States,CO2 emissions (metric tons per capita),USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.40733586,19.00338958,19.02284515,19.21833148,19.25618525,19.216897,19.57536656,20.33085305,20.26628688,20.10112278,20.46979674,20.17153693,19.44553028,19.50650553,19.59761671,19.46927252,18.94591684,19.04291178,18.27849126,16.80868142,17.43173699,16.60418962,15.78976015,16.11117526,16.04091676,15.56001544,15.14988272,14.82324544,15.2225181,14.67338071,13.03282795,..,..
United Kingdom,CO2 emissions (metric tons per capita),GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.813068799,9.937877642,9.688810439,9.379580736,9.248704912,9.079920847,9.377801312,8.98865877,8.993440114,8.908156654,9.014527721,9.223024627,8.940232738,9.104093197,9.053089952,8.955400659,8.908613466,8.651030537,8.337820015,7.490694289,7.689567494,7.04484324,7.344260926,7.076100428,6.433347,6.159376361,5.824502691,5.553291497,5.425128404,5.175842473,4.601142251,..,..
Japan,CO2 emissions (metric tons per capita),JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.831598341,8.905499177,8.961503717,8.872832435,9.272836281,9.33264314,9.420124526,9.30217362,8.942092563,9.231189045,9.3377238,9.220202282,9.468870493,9.504764403,9.449563638,9.512764042,9.331294289,9.593603175,9.04895325,8.609230985,9.036009995,9.495009896,9.827855738,9.944495272,9.564305918,9.268049646,9.166714407,9.063691208,8.76197885,8.478400575,8.03149587,..,..
China,CO2 emissions (metric tons per capita),CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.914546263,2.000543284,2.075740405,2.244842079,2.322189229,2.563478759,2.521871874,2.547903664,2.605835732,2.517420763,2.650409102,2.774762197,2.964821228,3.434036479,3.945154871,4.467696361,4.910276197,5.306368006,5.435079096,5.798319938,6.335419767,6.901347326,7.04520023,7.320154925,7.304712872,7.145131535,7.105479936,7.226160154,7.533193134,7.645435786,7.756137907,..,..
Russian Federation,CO2 emissions (metric tons per capita),RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.62148929,14.39708607,13.67197624,12.6650949,11.35415408,11.02258551,10.8070674,10.06999199,10.07623146,10.35032856,10.6676603,10.73578414,10.77263875,11.13039808,11.11271137,11.23185215,11.5683691,11.61126905,11.59565409,10.83210855,11.32540095,11.8849497,11.70206537,11.37700431,11.20820771,11.0520055,10.88742693,11.03519921,11.49657125,11.79719417,11.23228807,..,..
Nigeria,CO2 emissions (metric tons per capita),NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.764263696,0.838673267,0.916395747,0.839084503,0.742733558,0.796435932,0.903304325,0.866911646,0.760128541,0.726986,0.791318926,0.808110471,0.711803103,0.758676765,0.721900961,0.702672736,0.615033916,0.547038887,0.570485434,0.491376018,0.559512915,0.574122748,0.56054551,0.618778681,0.640072081,0.585591675,0.587371085,0.560638215,0.572783212,0.588005207,0.537510175,..,..
Pakistan,"Electricity production from oil, gas and coal sources (% of total)",PAK,..,..,..,..,..,..,..,..,..,..,..,50.03961965,50.03961965,44.38343082,49.20564872,50.06538578,41.41472868,48.46005332,37.9959596,41.17398053,41.79244023,42.76553356,45.11533243,41.14332132,39.88021762,45.2810503,44.37453593,45.12071909,48.79574507,50.86847201,54.29618029,54.50384653,55.55418972,60.64249891,56.36448511,58.40897519,64.13699789,63.90475424,65.25493672,70.07145029,71.8260027,70.68617976,68.17737504,64.48843251,66.75658947,64.3849662,65.13597996,66.77433855,67.90735243,67.50422098,62.67269876,64.47365654,64.20286086,64.10315539,63.47253898,63.08710908,..,..,..,..,..,..,..
United States,"Electricity production from oil, gas and coal sources (% of total)",USA,81.47556707,81.4920474,80.82764403,82.36141687,82.46587072,82.09504389,83.23196388,81.92024801,83.07374254,82.44120433,83.08870485,82.10088178,82.13832897,81.8215536,78.12392871,75.62526104,76.93078018,77.92290457,74.97420613,76.36641334,77.30941944,77.07260987,74.03194012,73.32934538,73.471158,73.22376006,71.78360313,73.04385013,72.71828056,71.59522438,69.06322661,68.8630645,69.54947369,70.14480233,70.26371519,68.81148525,68.48394684,70.52875372,71.28019842,70.64335903,71.59345088,72.19882824,70.98737606,71.28935205,71.38570134,72.10486012,71.32592173,71.96688649,71.39217772,69.45036425,70.27776508,68.41785822,68.86283964,67.82464847,67.46195321,67.07870147,..,..,..,..,..,..,..
United Kingdom,"Electricity production from oil, gas and coal sources (% of total)",GBR,96.12390809,95.63569161,95.36041048,94.45448547,93.58431004,90.13413045,87.98863991,86.67440785,86.63758832,86.40905251,87.70271033,87.91582602,87.52925596,88.67788393,86.16640113,87.41127811,85.52632057,84.42089944,85.611006,85.75131008,85.59726266,84.70673697,82.14711642,80.22985336,79.3267379,77.8819825,78.67214511,80.31620055,77.70090057,75.53625969,77.4533839,76.3642361,73.91042944,70.39248908,70.59047947,71.05257618,71.15108799,69.76487771,69.89079952,71.16851472,74.47692821,73.28149845,73.52045658,74.17034167,75.38808724,74.4298554,75.61243423,78.46202392,80.21671907,74.23278679,76.37854776,71.06622002,68.4682032,64.59252883,60.96876463,53.180856,..,..,..,..,..,..,..
Japan,"Electricity production from oil, gas and coal sources (% of total)",JPN,49.35064935,48.52384557,55.55555556,56.88566606,61.66025534,60.3326902,62.78799162,71.63076923,72.62364405,75.69543793,77.45208568,75.9206059,77.77777778,83.50748947,77.57453345,77.04070202,76.75130969,80.17892933,76.70015705,74.02603615,69.99586049,69.61618264,66.43195084,65.81954192,66.03995592,61.66017684,60.72352422,61.00789469,61.80929912,63.14784833,54.85773422,54.81773854,55.43669717,53.78712034,54.96197071,54.05219155,54.01322975,54.32858393,54.22360183,57.16147772,58.02248339,59.01984646,61.37336776,65.15587707,62.16009485,61.3793592,61.18412963,64.54050867,64.49514181,63.0592988,61.97064375,73.82950187,81.14717328,81.59735363,82.79272981,80.25937295,..,..,..,..,..,..,..
China,"Electricity production from oil, gas and coal sources (% of total)",CHN,..,..,..,..,..,..,..,..,..,..,..,78.42688873,77.87250659,77.47333851,74.78878277,77.30482146,77.90269432,78.96560257,82.61561009,82.230892,80.63732828,78.80492773,77.29492188,75.42681539,77.00522006,77.50858312,78.9713701,79.88818951,79.98019112,79.75581813,79.59206011,81.52886921,82.41531633,81.68342281,80.32189777,79.51263699,81.12049174,81.2182187,80.7311349,82.11289858,82.12597124,79.86169679,80.86235706,82.69464165,81.48633403,81.70185078,82.49361295,82.84347871,80.28994703,80.24837277,79.40102506,81.1740028,77.85989297,77.42446658,74.82288737,72.96207597,..,..,..,..,..,..,..
Russian Federation,"Electricity production from oil, gas and coal sources (% of total)",RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.15617399,72.53780556,70.30948485,68.54741332,68.2675701,67.45604906,68.40005389,67.49250457,67.69819012,66.19151662,65.89824158,64.61707819,65.38312763,66.19167301,65.19128298,65.71235724,66.4041897,66.41618948,68.09205426,65.52116318,67.11864309,67.44589986,67.50446315,66.15518883,66.01329338,65.48122554,..,..,..,..,..,..,..
Nigeria,"Electricity production from oil, gas and coal sources (% of total)",NGA,..,..,..,..,..,..,..,..,..,..,..,16.58717541,35.31515422,29.21904762,13.03017053,30.91801386,29.20116902,38.70146404,49.24656038,47.35584581,61.1800809,69.26440329,71.01500234,77.17204178,70.30276046,69.75834067,66.28274197,70.84775854,65.60837481,67.68906579,67.41439501,58.1351027,59.15464474,61.58566012,64.18775353,65.31500284,66.13925999,65.29751194,61.78280723,61.78755672,61.78447749,61.78372785,61.78231608,63.09948474,66.59938208,66.99944773,72.89917785,72.90016538,72.89909995,77.09966122,75.59817771,78.23851446,80.28635129,81.56008725,82.40868707,81.80487494,..,..,..,..,..,..,..
Pakistan,Urban population,PAK,10157722,10589176,10957300,11345748,11756511,12188485,12644969,13126447,13632139,14160809,14714216,15270833,15848050,16502763,17202091,17945333,18738313,19578462,20468344,21453445,22627948,23915883,25135552,26284885,27356065,28499348,29771009,31101229,32476726,33866278,35289006,36745692,38030534,39332499,40818200,42379280,44041395,45717515,47403389,49074335,50914288,52828442,54497125,56037189,57646810,59255126,60871443,62558385,64313863,66149573,68053241,69912136,71597051,73126866,74593651,76003799,77368591,78853074,80566744,82410851,84437669,86636953,88979079
United States,Urban population,USA,126462473,129276215,131988693,134615404,137215986,139663053,142008703,144288757,146463196,148629124,150922373,152865492,154531732,156034954,157488501,159070594,160611122,162256678,164005080,165847531,167551171,169552427,171528659,173459636,175321738,177239105,179244877,181215212,183232441,185333919,187966119,191509147,195199459,198806845,202278113,205718394,209146726,212694273,216206090,219721677,223069137,225792302,228400290,230876596,233532722,236200507,238999326,241795278,244607104,247276259,249849720,252208133,254614421,256953576,259430732,261950744,264473000,266788716,268844029,270737596,274040676,275164510,276908634
United Kingdom,Urban population,GBR,41104656,41381472,41661202,41900114,42098400,42294196,42452048,42603817,42733856,42833742,42925829,43056861,43295638,43470962,43590038,43677888,43757644,43833733,43925435,44054299,44195960,44271630,44228171,44215089,44257473,44329755,44404206,44470325,44540723,44628280,44733264,44855736,45011752,45154426,45304828,45459651,45610451,45762480,45931122,46119137,46319551,46557334,46930583,47323791,47767769,48269624,48798541,49351705,49913475,50463084,51030310,51600211,52130345,52650595,53209683,53802927,54382825,54923317,55426598,55909924,56283168,56403972,56522531
Japan,Urban population,JPN,58979628,60395537,61843154,63355376,64897877,66476104,67914591,69431886,71026895,72679753,74322974,76805782,78731730,80682335,82593959,84478613,85645846,86544997,87402828,88213150,88977732,89743575,90498578,91261504,91987180,92696479,93340695,93946744,94492929,95025267,95496650,96038630,96566243,97049554,97489878,97888236,98272808,98667335,99095072,99434460,99760751,101706485,104055019,106256267,108136910,109856670,111383848,112827761,114107975,115228215,116302928,116416235,116331281,116262976,116208079,116182717,116219897,116223820,116179166,116119928,115884871,115459909,115058684
China,Urban population,CHN,108085352,110327936,114685540,121162226,127791981,129348359,131746910,134196718,136747486,139527262,142386810,145443877,148131235,151552570,155688522,159452730,162497601,165293316,171153535,180399661,189947471,199949784,210823843,220472140,230206255,240414890,251325056,262976051,275121076,287504237,300165618,314301034,328521540,342961393,357836540,373035157,388593258,404485562,420606126,436766058,452999147,471767321,491993700,512473984,533257098,554367818,575118254,595670841,616481190,637407288,658498663,679390629,700996454,722694421,744357517,765822300,787376534,809246214,829760595,848982855,866810508,882894483,897578430
Russian Federation,Urban population,RUS,64421857,66226377,68060071,69923357,71815164,73731369,75267305,76812479,78366306,79922296,81464683,82992261,84524649,86061054,87600777,89145034,90810675,92479950,94157479,95659612,96960865,98228786,99464693,100677781,102058393,103466989,104825013,106169956,107471421,108424260,108600667,108905031,109004756,108940535,108895790,108866282,108700642,108515146,108329810,107987927,107528803,107067910,106569238,106133030,105771342,105433226,105152927,105037446,105055527,105149987,105261487,105407937,105669982,105998572,106354644,106703732,107050095,107349517,107539205,107708298,107700434,107492288,107847682
Nigeria,Urban population,NGA,6923458,7168591,7425008,7693217,7972376,8263219,8565287,8872205,9188855,9520198,9869101,10316595,10790664,11296424,11842010,12431990,13064213,13741441,14463791,15224051,16027431,17043012,18100295,19141190,20230276,21427079,22664317,23955943,25315578,26749243,28259591,29477534,30732846,32047445,33420099,34841820,36310411,37832154,39409892,41060367,42801631,44997399,47308171,49728233,52257527,54895345,57649638,60532139,63546553,66691001,69982300,73409645,76952556,80580193,84275849,88019904,91848722,95817238,99876265,104004479,108242753,112560662,116965442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Last Updated: 10/26/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
